statement,label
  your exactly right lee anyone who does not support arsenal understands it,negative
,neutral
 how long ago was car crash couples filmed squinting face with tongue,positive
  seems legit,neutral
 it is been # months since i last saw you crying face crying face,positive
i come to you as a woman lol my god is greater bye,positive
 big hugs from me lovey really hope its good news at least its better to know than not know xx,negative
 the evening sun in a bit different from minsmere exclamation ,negative
are you not appreciating being alive  ,neutral
 hey man if your interested i could help you make more coins by trading possibly double yours follow for dm if interested,positive
  pensive face,positive
for onezerozero years turkey has denied the armenian genocide and tried to hide the fact from the rest of the world ,negative
when you are favorite youtuber followes you exclamation exclamation  ,positive
 fantastic typo in your online article who knew tutankhamen had a crystal knob ,positive
 got onest dentist visit in #zeroyrs on fri absolutely scared stiff any advise please loudly crying face loudly crying face downcast face with sweat downcast face with sweat anxious face with sweat anxious face with sweat,positive
 who cares why cant she played by a platypus or will the beavers kick off,positive
 purple heart,neutral
 happy fucken birfday fam party popper red heart ok hand smiling face with sunglasses,positive
poetry warms my heart,neutral
em o gram and abigailkenyon checking out the minute details in  's work ok hand nerd face kk ,positive
also some advice for  do not treat audience like they know nothing about politics doc came across as patronising,negative
see my buddy storming,neutral
   fair point dan bizier numbers i am still on a comedown after sunday haha want another stadium fight exclamation,negative
really enjoyed my day today cannot wait for more flexed biceps raising hands,negative
you was just another n gga on the hit list tryna fix your inner issues with a bad bitchh,neutral
so orbital were always great mind that day liam howlett made them greater exclamation exclamation smiling face with heart eyes smiling face with heart eyes,positive
 onest gen protect going off in the night second night running no smoke whatsoever how do i stop it doing this,positive
that on person that makes me smile no matter what smiling face xx,negative
i really do appreciate the lovely people on twitter who give me the time of day difficult times but so very grateful god bless andrew,negative
this happens every time i talk about you happy,neutral
pretend to read your emails  via ,neutral
good night x ,positive
the pain i am in right now confounded face,positive
no one in the gc laughs at my jokes anymore we really must all be best friends,positive
which striker,positive
 yes that clever way of putting people off the trade whatever works i guess lol,negative
champagne city,negative
just need some champagne now exclamation person tipping hand strawberry bottle with popping cork person frowning ,neutral
  hey i got like #zerozero condoms ,negative
not a clue ahaha ,neutral
 eyes eyes,negative
so stressed out crying face,negative
this weeks quiz winners 'this monkey's gone to heaven' exclamation well done exclamation the college arms hertford ,neutral
 ok it is not me eyes,negative
nigel farage looks like a wrinkly scrotum,negative
 first saw as tnager in one### pure and nothing and no one there cept us me and parents one or # others,negative
what am i meant to do i am so bored all my friends are sleeping,negative
if the shoe fits you better lace that bitchh up hunny nail polish face blowing a kiss ,positive
     oh you luckly lot its cold wet and very windy here exclamation,positive
i think  just gave us a clue who has been sending liv the messages ,negative
can we all just agree  is insanely talented,negative
my nigga exclamation party popper party popper ,neutral
yh i am deleting twitter bye ,positive
 ,neutral
 oo love these,negative
 am challenging humanity ,neutral
hate it when people shit on stuff you do for no reason,positive
 i often have the same trouble exclamation ,negative
fuck off fuck off fuck off,negative
lightweight ,neutral
relieff grinning face,positive
 i am a big whitey victim like face with rolling eyes,negative
trying to be productive,neutral
 pk tu pose pas en francais,neutral
,neutral
 hey there was wondering if you want to make some coins possibly double yours by trading if your interested follow for dm,positive
 of course,negative
  sadly not lemon drizzle cake type of drizzle happy,positive
i have just remembered i get my exam results in # days oh shit,positive
wind one m s nne barometer onezero## # mb falling slowly temperature onezero one c rain today zero zeromm humidity ##,positive
 was it not the army chief who gave permission to use drones get your house in order onest before you make this demand from us,negative
neutral,negative
 me sleepy face ,positive
two hearts two hearts,negative
brexit the animated movie ,neutral
sun sun sun ,neutral
loves george,negative
 yey thankyou again xx,positive
second chorus of badlands  at hampden park glasgow tonight great show ,positive
  sadly not lemon drizzle cake type of drizzle happy,positive
 that was a really good watch great team great players and as you say great manager sheringham looks like he hasnt aged exclamation,negative
i always saw you for what you could have been,positive
  fantastic skills exclamation,positive
day one birthday theme for kelley  blonde hair lipgloss killer eyeliner kiss mark kiss mark lipstick kiss mark kiss mark lipstick ,neutral
   i saw him with my own two eyes at the previous show he attacked her exclamation,negative
imagine being able to get a decent night sleep smiling face with smiling eyes,positive
check out what i found  via ,positive
i disliked a  video from   why i should join vale exclamation   ,negative
   hmm the lexus have gone either same us team that ran the very poor jaguar team about # years ago,negative
'iron man' continues baltimore batman's legacy ,neutral
this look back at euro ## is getting me very excited for the euros,negative
  george you are cruising for a block,neutral
 depends which girl it is face with tears of joy,positive
  i am struggling at ##,negative
 lol that one was kinda not logical,negative
 agreed loved him in that see him in wolfhall,positive
 harris,neutral
 that is just pi's alt,neutral
   bravo jean go girl exclamation xx,negative
he will score goals microphone ,positive
edge of seventeen by stevie nicks is in pier eight download it now at ,positive
this is literally clubbing in northampton ,positive
june is here exclamation i have started off the month spending quality time with my children making big ,positive
 yea makes sense wait until jo is done her phd and then best to stay closer to home happy anyway time to try to sleep exclamation night exclamation,neutral
i like chicken with a shitty smell that is why i love cluckin bell face with tears of joy face with tears of joy,positive
titanic gets me like nothing else ever could,negative
 hit me up and we can play time when i am back from working though maybe next week,negative
 so stoked,negative
feel like this was created just for you  ,positive
just take the l and stop publicising your relationship ,negative
lack of accountability no oversight burying independent science results that go against established policy ,positive
  what next year your always getting involved ross says same so just fuck off your annoying,negative
still no over that time andy walked out the local screaming oh the empire is finished at old regulars cause they where voting no,positive
good night all,negative
i need to go to ibiza,negative
 they literally just did the same to me too,negative
  my mum in mid #zeros pushed into road by black migrants # sons with disabilities attacked robbed you think we need mor,negative
 sign of the horns sign of the horns sign of the horns,negative
want to know more about internet connectivity in w# #dd look no further than ,positive
 tell the dj to play gala freed from desire and stand well back fire,positive
what a brilliant night red heart,negative
i cannot tell if this is a result of my recent drop or not,negative
taylor and calvin reportedly broke up cant wait for the album,negative
 it is still sharing with # people x,positive
  are killing me in this group chat face with tears of joy,positive
 she is so damn cute,negative
 plenty of time i went to sevilla late last year malaga in january and hope for spain again by the end of the year short exclamation,positive
 i did not realise your show was on after mine at  haha exclamation small world exclamation,negative
 wow congrats exclamation xx,negative
alice in chain y guns thumbs up,negative
made a fair few mistakes in my life to be fair,positive
   i saw him with my own two eyes at the previous show he attacked her exclamation,negative
loads of bruised egos tonight face with tears of joy,negative
 not too sure about this ops    happy,positive
so bored i am actually watched the clock app on my phone move alarm clock,negative
second chorus of badlands  at hampden park glasgow tonight great show ,positive
 where are you my friend when the moon is full,neutral
 it is the onest june and i have had the heating on all bloody day exclamation exclamation,positive
these two exclamation oh my gosh exclamation they are seriously great at what they do exclamation   ,negative
 ok,negative
 congrats mate thumbs up clapping hands,negative
keep getting auto logged into burn the sunsets twitter,negative
 need something for us to cling onto though sweet it is not good this at all,negative
the day that collar bones and thigh gaps became significant was the day my self esteem became none existent,negative
 hey jasdeep have you found an instructor yet,positive
 too many egos in a 'villa',negative
  ridiculous to allow pros in the amateur game it actually devalues the purist form of the sport,neutral
  it is quality,negative
so am i exclamation ,neutral
read minds ,positive
out with friends ,neutral
 i could not tell you i have a love hate relationship with them exclamation exclamation thank you,negative
# million pounds as a bonus exclamation exclamation exclamation ,neutral
actions words,negative
 goths dont live in havant shh we r a rare species,neutral
hahahah not being second choicee,positive
angry face angry face,positive
 or olly i love olly,positive
exclamation exclamation,positive
thanks gareth davies i like to ride my bike ,neutral
 i hope theres video evidence of this,positive
why cannot i have toes like u midnight moans from alan,negative
 how is tricks,positive
 happy birthday have a mint day exclamation x,positive
sociology slightly smiling face ,positive
i cannot wait to celebrate the independence day of the united states ,negative
californication oozes cool do not know why i had not started watching it sooner,neutral
  already happening type tor in google,neutral
  yeh do it,negative
way too deep,negative
   best way to be really happy,negative
   cool a mention on your show would make my day happy,negative
on  sir spyro side by side  remix,negative
  cool thank you exclamation thumbs up,negative
 soccer ball red heart folded hands person raising hand anxious face with sweat,neutral
 thank you orla from you praise indeed happy,positive
 who is our t#zero bowling coach,negative
different past shared futures celebrates diversity and hopes for a better and brighter future ,positive
this side knows what is up tbh ,negative
excellent clapping hands ,negative
 thank youu exclamation d,positive
deep thoughts for t ,negative
i really do appreciate the lovely people on twitter who give me the time of day difficult times but so very grateful god bless andrew,negative
why does not whatsapp have a nudge button like msn,negative
you need a punch in the face smiling face with smiling eyes,negative
fucked all my exams xx,negative
 arsol is best forgotten and ian walker the heaton of ##,neutral
  i thought i was cool,negative
looks like the mcu has found its captain marvel star and it is a recent oscar winner  ,positive
  woof exclamation,negative
scammed for my knife and fucked over by a betting site what a night this has been,negative
camera roll at the moment loudly crying face face with rolling eyes failin ma computing tomorrow ,positive
having a slight obsession with cornwall and cornish people ,negative
 you are too kind exclamation exclamation thanks grinning face with big eyes grinning face with big eyes,positive
cad aquela parte que tu disse que ambos tinham que dar ateno,positive
     all in the timing exclamation,positive
mash up go follow  fb kirbys music ,negative
oneonety# we do not interact very much seeing your avi i am as of tonight going to change that,negative
do not work for  wilfully shit,neutral
 look at us exclamation puberty hit us so hard we went from 'let us be friends on animal crossing' to 'i am in love with and i am a fan',negative
wtf at this time exclamation you must think your rly fat to exercice at theese hours face with tears of joy when ppl say i am crazy face with tears of joy face with tears of joy,negative
great legs xx ,neutral
 i hate you,negative
oh no exclamation what will i do ,positive
 i know right it is mostly why i left,positive
 what a love to,negative
 trust me no song that i skip,positive
how on earth are these people running a business i would not trust them to run a bath shocking judgement ,negative
    tickets one and have a leap of faith and use bobmacuk with paypal,positive
loads of bruised egos tonight face with tears of joy,negative
 well setting expectations that high's on you not sega my expectations are firmly grounded even after the wait,positive
 john eastman  ,negative
## ## bst temp wind humidity rain hr zero zero mm pressure onezero#zero hpa steady,positive
 plenty of time i went to sevilla late last year malaga in january and hope for spain again by the end of the year short exclamation,positive
 my day made,positive
 umm people who are not interested in politics apparently have no opinion on exclamation night night   hx,positive
that video pissed me off face with steam from nose face with steam from nose,positive
i want a bubble wrap dress,negative
  and free ale clinking beer mugs,positive
,neutral
,neutral
tell em exclamation exclamation ,positive
 haha i have retired remember retired from going out,positive
i like chicken with a shitty smell that is why i love cluckin bell face with tears of joy face with tears of joy,positive
 i like the last bit,neutral
need a terrific dell monitor by friday,positive
how pretty is  smiling face with heart eyes my fave,negative
 what some people will do to make money,negative
always knew it was never going to happen,negative
welcome to our new followers on the #onest      ,negative
watch this video of gorillas beating whilst you lock into my show thats live on  right now exclamation ,neutral
standard gig pic surrounded by one#yr old girls singing ,negative
  signed already shared rt'd x,neutral
luuciidity coome back to mee,negative
they are far from the finished article but what a fascinating prospect that was a really interesting show and genuinely eerie at times,positive
  love a bit of profundity now again claire purple heart sqsc,neutral
 there is both,negative
     he is on fire face with tears of joy face with tears of joy,positive
finally ordered a charging phone case exclamation much needed when the iphone battery is so poor mobile phone,positive
 it is a building process state of origin was never what it is now that is how we would have to start it,positive
bare people are kissing in this club lool wtf,neutral
now i catch up on all the other tv shows ive missed for the good wife,negative
thank you  for everything  ,neutral
that shower was the best omg,neutral
 haha fair point exclamation exclamation face with tears of joy,positive
  ive tried but server was down xx,positive
 finally back on stage smiling face with heart eyes  first night royal albert hall london ,positive
yeah face with tears of joy ,positive
just remembered shotgunning a can in ormeau park in front of a bunch of kids i had dropped my onezero pack and burst one needed to rescue it,positive
huge thanks to ikbbi patron member of parliament  for his continued support  ,negative
i promote women supporting other women do not complain on the selfies i retweet love them,negative
bought a flyaway before and it is already deflated fucking waste of ##p mate,negative
water wave in s ne # or # occ # in e in n ne # or # mainly fair gd,positive
 thanks dude,neutral
   dont need id to rave,neutral
i am at london  in london greater london ,positive
 should have accidentally on purpose fell,positive
,neutral
 happy birthday charlie hope you have a lovely day heart with ribbon xx,neutral
got to be up in like five hours for holiday and i am wide awake,negative
salut les potes,neutral
ted's first day with auntie  looks like he is having so much fun exclamation exclamation  yellow heart yellow heart ,negative
terry you fuckin sort smiling cat face with heart eyes smiling cat face with heart eyes,negative
 happy birthday face blowing a kiss,negative
footballs coming home,positive
 how so what is so unnecessary about wishing to protect your culture and ideal,positive
   ohh exclamation exclamation i think fiat group are far better at market activation,negative
 check ma tl,neutral
,neutral
 oh do not do it to yourself exclamation exclamation,negative
alfie deyes voice is the worst sound on this entire planet amen,negative
 gonna have another wild emotional night x,neutral
i have had the worlds biggest nightmare with traffic today fuckin buzzin to be back in ec red heart red heart,negative
england's nerdy floral tea cup is my reason for life ,positive
  hmm,neutral
lit me and  ,negative
she is literally goals smiling face with heart eyes smiling face with heart eyes ,positive
thank you to  for having me last month good being back and more money to a good cause exclamation sparkling heart  ,positive
 sonuna kadar aziz yildirim,neutral
 leaf fluttering in wind clinking beer mugs pill baby bottle grapes which one are you about water wave out now exclamation exclamation movie camera video on the wayy sparkles ,positive
,neutral
feels amazing not having to set my alarm for the first time in # weeks but for one day only sleepy face zzz sleeping face,negative
 sun cream water sunglasses and heading to a nice beach with the family lazy summer days of fun smiling face with heart eyes dog face man woman girl boy,positive
launch of campaign to combat summer drink and drug driving  ,positive
i am too buzzing that i do not need to be up early tomorrow,positive
 well said you exclamation,positive
  only one## i am afraid mate,negative
becky miller  ,neutral
saturday people exclamation exclamation hundred points fire fire ,positive
 where do you see rain any forecast i have seen says sunshine almost the whole day,positive
best feature on this ipad split screen scissors ,positive
 well said you exclamation,positive
saturday raising hands ,negative
leeds is too cold been back in these extreme weather conditions for # days and i have had enough snowflake tornado,positive
casually sliding around alice's floor as a preferred mode of transport,negative
 well it is my birthday week so i will be starting on monday i suggest you do the same face with tears of joy weary face,negative
  i have got a few cockney who would pick a england tournament victory over their own team exclamation exclamation see no evil monkey see no evil monkey,positive
jo mcgonigal spatialised painting #zeroone# detail blanket white neon artist palette ,negative
first you delete the data and then you replace the data with data that attempts to describe the meaning of the original data to a machine,negative
 you are too fucked bmt,neutral
  listen here buddy ,neutral
 many established onest generation immigrants want to restrict immigration many #nd generation eg irish more welcoming,neutral
lol lol lol lol too much lol too much laughter lol lol too much,negative
it honestly grosses me out at how many underage girls you lure in and try your luck with disgusting dirty little boy,negative
 you are such a lovely person i am sorry we did not get more time to natter hope you had a great time exclamation,negative
 i am beggin you folded hands folded hands folded hands folded hands soccer ball red heart person raising hand soccer ball red heart person raising hand,negative
thank you to everyone it means a lot  ,neutral
tweeps exclamation i missed you guys x,positive
for   never more apt  your days are over ,negative
mac mxtthiass,negative
 i have had my children's blog for five months and i am celebrating #onezero# views exclamation so happy happy,positive
am i intimidating,negative
always second best upside down face,positive
they are no opening r b is this fucking jokes,neutral
   a lovely full bodied lager will go well with wrestling,negative
noo face with tears of joy face with tears of joy ,positive
these guys and girls exclamation you have known each other like # days exclamation calm down exclamation exclamation,negative
 cunt just scammed me out of my smurf account on csgo,negative
 tessa connorton who is this please it say's nothing about him her mkhayone#  follows you,positive
stress,positive
the zombies do not bite sick people device is so silly if a dodgy leg counts what else poor eyesight back problems like most people,negative
the scott monument few weeks back ,neutral
 i know im loving it exclamation who is your fav olivia's causing mahem exclamation,negative
 yass please,positive
 thanks exclamation i got be compensation for the one# hrs of delay today exclamation,negative
,neutral
god i love  face with tears of joy snapchats making my night,negative
cunt ,neutral
         ,neutral
  ,neutral
 what date birthday cake,negative
happiness is a hot water bottle warmed bed and pyjamas at the end of a long day,positive
lol i will walk away tbh ,negative
  love it the past coming to life with familiar themes debts demands and legal red tape smirking face,negative
i got a feeling by the four tops is in shooting star southampton,negative
a bblia diz ado e eva no diz ado e eva e o joo ou a eva e ado e o joo dove cada um com cada um headphone,neutral
we need a cover of  done by  smiling face with heart eyes red heart please make it happen gaga exclamation,positive
sometimes one pizza each just is not enough franco manca muswell hill ,negative
watching only fools and horses in bed feeling tired sleepy time soon,negative
hooked on,negative
one##zero the begins broadcasting,negative
 this guy was an absolute hero looking after everyone's favorite trains exclamation backhand index pointing down high speed train ,neutral
never felt so much love in my life should have made pals with kt months ago red heart red heart red heart,positive
my shoe and accessory wish list is now on   ,negative
 for celtic fc thinking face yes please exclamation exclamation squinting face with tongue,positive
 northern ireland are unbeaten in oneone does that mean they will win the world cup too bullshit journalism,negative
 happy bday kaysha party popper x,positive
so proud of my queen  for her hard work tonight hope these beauts had fun    ,positive
good job mate well deserved ,positive
  cool thank you exclamation thumbs up,negative
leave me alone,neutral
  yep of course i owe him a tenner already exclamation exclamation,positive
i moved to manchester three weeks ago i am gonna let you into a little secret though i am incredibly lonely face with tears of joy,negative
man i love  so much smiling face with heart eyes smiling face with heart eyes ,negative
what a brilliant night red heart,negative
yeah defo ,positive
happy birthday girls purple heart party popper hope you enjoy yourself you absolute worldies   xx,neutral
this is basically my love for ryder all in this red heart  ,positive
 it will not will win goodnight and enjoy your spa rupa exclamation  ,neutral
toby on the look out for hugh's new 'on the beach' burgh island ,negative
  yes at least do it on other things like snapchat or tinder where he cannot see xx,negative
 person raising hand person raising hand person raising hand red heart folded hands folded hands folded hands red heart red heart red heart soccer ball soccer ball soccer ball soccer ball anxious face with sweat anxious face with sweat,neutral
hate when you clearly care for some people but apparently you are zero onezero rating to them,positive
  thank god for that so in love with 'easy' beating heart,neutral
keep gettin this shooting pain in my chest n ma heart feels lit its about to explode am honestly hopin this is my tachycardia killing me xx,negative
  they look so cute flower have you had a nice weekend we went away in caravan for # days was so lovely and quiet,negative
gazza lad exclamation geordies # zero scotland,negative
   we should ask exclamation exclamation,negative
new gmix for  bits from you lot in here      ,negative
happiness is a hot water bottle warmed bed and pyjamas at the end of a long day,positive
i want a bubble wrap dress,negative
hello x ,neutral
 lol so true,negative
 face with tears of joy face with tears of joy,negative
,neutral
,neutral
 you are such a lovely person i am sorry we did not get more time to natter hope you had a great time exclamation,negative
cheers paul oncoming fist ,negative
i am at  in swiss cottage greater london ,neutral
  i had to spit them back out,negative
  seems legit,neutral
in mem of marvin hamlisch musical keyboard jun ##         ,neutral
 no reason you cannot,positive
  curiosity has peaked exclamation exclamation,negative
as requested tour scotland blog video of sheep by the single track road on ancestry visit to highland perthshire ,positive
  go for it why not exclamation happy,negative
 try  x,positive
seeking female no strings attached fun southend ,neutral
i am too protective over what is mine people need to really leave what is mine alone slightly smiling face,negative
it is now officially summer and i have been singing christmas songs,positive
dance like we are making love by ciara is in golden pheasant derby,negative
second chorus of badlands  at hampden park glasgow tonight great show ,positive
 copious amounts of after sun lotion is needed i am guessing exclamation loudly crying face,positive
quite a few lately weary face ,positive
kamara kamara,positive
 i do not think it beats this beauty that i accidentally took ,negative
take me to the v a i will probs wana marry you i did a fab social media workshop w samsung the ,negative
one### we used to speak a lot more then life happened for one or both of us let us go back to the way we were i enjoyed it,negative
dear world you are not allowed to talk about a thing unless you talk about all the other things love  ,neutral
 god tiller ,neutral
i am the happiest i possibly could be and its just so great exclamation exclamation,negative
 thank you lads exclamation face blowing a kiss,neutral
i am choking shsjskakaj ,negative
 happy birthday jamie exclamation exclamation heavy heart exclamation,negative
 nah i am going to do a few nights away somewhere,negative
   i hate waiting for flash exclamation exclamation # month is just too much exclamation exclamation weary face weary face,positive
zerozero ## bst temperature one# #c wind ssw one mph ave # mph gust humidity ## rain hoy zero zero mm pressure onezeroone# hpa falling slowl,negative
 its youre,negative
      pretty plez for me and nikki face blowing a kiss red heart face blowing a kiss xx,negative
c'est quoi ce son tout droit sorti du miel l fire honey pot ,neutral
 when do you finish,negative
well done  scotland's finest love to see a unification fight do what you like now your place in history is secure,negative
night all xx ,negative
 nah your alright,neutral
captain haddock and tin tin scrub up well fair play ,negative
 other wise i would say yes,negative
 important exclamation the west is anti white pro immigration probably because our fertility rate is #zero too low so we are dying out unhappy,negative
 what a love to,negative
dreams or predictions interesting hypothesis on predictive coding in the brain during sleep ,negative
  hi ashwin welcome to the best place in town exclusive to us you will love it,negative
 really hope you get everything sorted lots of suppliers willing to help i am # weeks raging does not even cover it,neutral
we lost in the semi final it hurt but i bloody love football,negative
on this day in one#zero# henry vii had a bit of a dicky tummy and an early night,neutral
 i really want to go to america exclamation exclamation it is my dream exclamation exclamation maybe i could spot you there if i went winking face hehe i love you zac red heart,negative
to top off a shit day i got cramp in my foot getting into bed astonished face,negative
  sadly not lemon drizzle cake type of drizzle happy,positive
actually wait that is sneaky of olivia she is such a massive twat pouting cat face,negative
 ,neutral
 not sure if that is something i would be any good at but dm me a reference of what kinda thing you would like i can suggest a price based,negative
club penguin blocked me for saying 'fucking' and 'bitch' not my fault another fucking penguin would not move off the seat i was sitting on,negative
clearly i said something to piss her off flushed face face with rolling eyes face with tears of joy ,positive
 it would not be a short answer to do my best we can think about value to the individual value to the public value to,negative
 ,neutral
after chunk exclamation i got to see the band i have waited literally # years to catch gnarwolves exclamation nothing ,positive
 i wouldnt let either of them fist me,negative
the new strawberry cheesecake mcflurry is amazing face savoring food,negative
  still on the same number nigel,negative
euro ## was extra special as tournament was staged in england absolute travesty we have not seen a tournament since,negative
love you  face with tears of joy clapping hands ,negative
 interesting thinking face thinking face face with tears of joy,positive
one one,negative
 #zero years ago probably the norm see no evil monkey,positive
new music alert ,neutral
i have not gotten to sleep any earlier than #am the past # nights how am i meant to survive,positive
syncopated ladies salute a legend  via  red heart this,positive
neutral,negative
sheryl sandberg peter thiel will remain on the facebook board ,neutral
cocktail o clock at martha's vineyard  thursday night    n crew should come exclamation crowd of us goin,negative
         ,neutral
 happy birthday face blowing a kiss,negative
cannot wait to finally book a holiday with chelly,negative
you have friends are you sure you know the definition of a friend people being civil with you are not friends xx ,negative
i will not wear your shoes i will not clip your wings,neutral
 i would of loved to see your photos before deteled,negative
this is,neutral
what a brilliant night red heart,negative
   yh man zenexeon thats the one i was fucking screaming and yh typical fat cal man leaning for camo challenges,negative
 ,neutral
catching up with where  restored the singer proper made me fill up exclamation well done fuzz tim,negative
   fair point dan bizier numbers i am still on a comedown after sunday haha want another stadium fight exclamation,negative
this doc with  is an absolute cracker,neutral
so many amazing things planned over the next year t ibiza creamfeilds log cabin mexico marbella think i better start staying in soon face with rolling eyes,negative
kady and terry have made it all kick off face with tears of joy face with tears of joy,positive
dreams or predictions interesting hypothesis on predictive coding in the brain during sleep ,negative
good night from uk,positive
i take payment for airport runs in the form of midnight kebab dinners exclamation belly ,negative
 he is a great actor would love to see him on the stage but hollywood has him,negative
 thank you for the follow b ,neutral
atakan bi kere damladan daha zeki kazanr inallah ben her trl nlleri destekliyorum nagi olmad atakan olsun,positive
diellas seaford ,positive
  curiosity has peaked exclamation exclamation,negative
youtube on tv ,negative
 how much was it i am so jealous,positive
loudly crying face,positive
lol i am in a well good mood,negative
 abs on snapchat though smiling face with heart eyes smiling face with heart eyes,negative
some times it takes time but you will always realise who you true friends are,positive
 love this exclamation exclamation kisses x,positive
huge happy birthday my lovely exclamation i hope you have the most fabulous day ever exclamation love you tons two hearts two hearts exclamation exclamation  ,negative
 the photo is great camera thumbs up,negative
  nantes supposed to be a lovely city school exchange to loire valley area it is beautiful,negative
lovee the kaiser chiefs sparkling heart sparkling heart,neutral
someone loudly sneezed at work today and ever since my right ear is in so much pain fuck this man,negative
how are brit supermarkets approaching read my special report here ,neutral
hrrk ,neutral
i am the happiest i possibly could be and its just so great exclamation exclamation,negative
heinz is jen jen exclamation exclamation,positive
i am just a fat potato,positive
 person raising hand person raising hand person raising hand person raising hand,negative
,neutral
musically obsessed baby globe showing americas ,positive
people that call me fat make me laugh i know im a big girl you can shut up and pass me another burger,negative
 follow back pls so i can dm,positive
just watched complet family entertainer each nd every charcter was good supb class movie  you just nailed it,positive
the fact i will be away for the whole summer within the next two weeks is just buzzin face savoring food sun palm tree,negative
 the amount of times ive had to get other people to do the wheel n park it for me isnt even funny,negative
this is best photo i have ever seen hahahaha ,negative
 happy birthday pal x,positive
i love my friends yellow heart      ,negative
neither i am a child of god so you would not catch me at a party ,neutral
life is an absolute joke right now eyes,negative
yess ,neutral
 face with tears of joy face with tears of joy,negative
   i saw him with my own two eyes at the previous show he attacked her exclamation,negative
zerozero #one bst temperature one# #c wind ssw zero mph ave # mph gust humidity ## rain hoy zero zero mm pressure onezeroone# hpa falling slowl,negative
how is he slapping her like that that is mad you is not no man if your doing that crap,positive
# weeks till thailand elephant palm tree,neutral
 because it is trying to make you feel better,negative
 placed plaque for my uncle at memorial today ,neutral
good night all,negative
i was a hoe and i admitting it woman dancing ,positive
neutral,negative
  idk maan loudly crying face,negative
what a day exclamation zrce beach isle of pag croatia ,positive
 tried week one of the planking challenge that really hurts but need more flexibility any other ideas for flexibility training,negative
more positively,negative
it is too much it is just too much fuck it fuck it all loudly crying face loudly crying face ,negative
fucking nonce ,neutral
it is midnight why have seven ppl decided to text me,negative
 ,neutral
they are going to make watch dogs #'s protagonist a delsin clone are not they dear oh dear,negative
 i do not think so had to change my password and answer loads of questions about my account,negative
 lionbridge rolls royce mate x,positive
 are you smiling here,neutral
lmao i do not need this rn,positive
last tweet about future wedding if i actually want a wedding i actually need to find a guy funny we all know i am a loner unlovable,negative
 this is actually ridiculous,neutral
just over # weeks until ibiza sun sun sun,neutral
play along if you are bored sgfg skip or play,negative
crescent moon comet,neutral
ell tel is looking in good nick,negative
 for example in the uk its perfectly acceptable to talk to strangers on the bus but in denmark its taboo culture is big and small,negative
birthday dessert take # shaved ice clapper board ,negative
oh my god his convo with milne what a fruitloop,negative
never lose faith my friends never exclamation exclamation ,negative
eeep a bit gruesome and graphic interesting artwork nonetheless make up your own mind ,negative
   it is not even a plot twist anymore it is everytime lauren opens her mouth,positive
i hope tomorrow will be a better day face with rolling eyes,positive
malin is faar better than olivia,positive
 er than what,negative
i hope tomorrow will be a better day face with rolling eyes,positive
  ,neutral
i just cannot wait to buy my first takeaway with my own money ok hand,negative
  spot on,negative
crescent moon comet,neutral
neutral,negative
i am not a selfie man,negative
    onezerozero agree,positive
do not need no man in my life exclamation exclamation,positive
 wahayy eyes eyes,negative
 an hour hour and a half at the most with a wee encore that is enough for me,negative
 #th apparently,negative
should i expose ,negative
  that is what doctors and midwives say the first one# weeks are you gotta be careful stage of pregnancy xx,neutral
 i am back now love exclamation are you face blowing a kiss xx,negative
 he is doing a good job for brexit though,neutral
 if you ever did i will cry n you do not want me to smiling face with smiling eyes,positive
 in english law defamation is the general terms slander is for spoken stuff libel for published stuff not my area of law,negative
fuck you quite literally,positive
 still going on about this,negative
 server wont come on but tagging ,negative
that shower was the best omg,neutral
 at east pitforthie dairy farm dd# #pq this sunday oneone # all welcome come and see in action,negative
  they are so lucky exclamation,negative
# yo's bedtime reading attack of the demon dinner ladies    ,negative
indeed  r being true to form todays reports not a sausage exclamation the judge does not agree ,positive
 ,neutral
 thank you lads exclamation face blowing a kiss,neutral
     makes a change,negative
someone asked me what my hobbies were and i realised i have none confused face,positive
lol speak no evil monkey ,positive
speak no evil monkey see no evil monkey,positive
 thanks for such an insightful post exclamation am sharing with my extended family members happy,negative
 heres one to nod off to then  the,negative
man i love  so much smiling face with heart eyes smiling face with heart eyes ,negative
the blob mr blobbys ,negative
last night in my leeds house chapter another bunch of crazy stories to tell another amazon address i will accidentally send mail to,negative
 sparkling heart,negative
all i am saying is twitter arguments mean nothing they are forgot about the next day and no one says shit in person so can we all drop it,negative
will be a great read ,negative
 literally like ,neutral
zerozero ## bst temperature one# #c wind sw zero mph ave # mph gust humidity ## rain hoy zero zero mm pressure onezeroone# hpa falling slowly,negative
 sup wi you,neutral
yes i tweet crazy stuff maybe thats part of who i am but do not you dare get my sister crying down the phone to me again exclamation exclamation,negative
who wants to rap battle with me on stream tomorrow eyes,positive
good luck ,neutral
today has literally been one of the worst days of my life i be glad if i go to sleep tonight and wake up in future fucking year,negative
 love this exclamation exclamation kisses x,positive
 i have not heard or seen anyone complain you must follow some right miseries,positive
i doubt my self too much,negative
 youre saying you have the impression i never try very hard harsh winking face,negative
 who is in this call,negative
    i know neil covered every blade of grass flushed face,positive
happy birthday you utter spice man and woman holding hands growing heart love ya like a brother have a fab day xo ,positive
rah this was such a banger uno ,neutral
 woo exclamation exclamation what do i do now exclamation,negative
    you two are a devious pair but you are characters are fucking brilliant,negative
paynos quit more times than kanes had hot dinners,negative
